,t,ReservoirEbre.Q,ReservoirEbre.W,ReservoirEbre.z,Reservoir1.Q,Reservoir1.W,Reservoir1.z,Irrigation1.Q,Irrigation1.Qin,Irrigation1.Qout,Pump1.Qin,Pump1.Qout,Pump1.H,Pump1.n,Pump1.Ph,Pump1.Pe,Pump1.PumpOn,Pipe1.Q,Pipe1.H,Pipe1.zlow,Pipe1.zhigh,Pipe1.H0,Pipe1.signQ,PV.forecast,PV.P,Grid.P,Grid.Psell,Grid.Pbuy,EBg.P_bal,Bat.E,Bat.P,Bat.Pch,Bat.Pdc,p1eb_expanded.P,c1r1_Q_expanded.Q,r1i1_expanded.Q,grideb_expanded.P,pveb_expanded.P,baten_expanded.P
36,36,-0.03279356495370722,196955.89673827117,29.828259827897114,0.016465136287040546,9166.605271225573,139.23074089441178,0.016328428666666665,-0.016328428666666648,0.016328428666666665,-0.032793564953707215,0.032793564953707215,109.40250257430759,2751.388824934045,35195.317911153004,43994.14738894126,1.0,0.022825083573527184,109.39144698909907,29.82825982789712,139.21975025223617,109.40248106651467,1.0,0.6484390389437005,-136804.03717772386,92809.8897887826,92809.88978878259,0.0,0.0,0.0,0.0,0.0,0.0,30551.201187023933,0.022825083573527184,-0.016328428666666665,106252.83599069978,-136804.03717772383,0.0
37,37,-0.09499876138406449,196613.90119728856,29.827689835328815,0.08642573916406447,9477.737932216205,139.37434058409977,0.00857302222,-0.00857302222,0.00857302222,-0.09499876138406448,0.09499876138406448,109.5468312439505,2753.2032613516817,102090.83424539867,127613.54280674837,1.0,0.09534125227505186,109.5360131991232,29.827689835328815,139.3639190037125,109.54665074877097,1.0,0.6048769083203855,-127613.54280674836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127613.54280674818,0.09534125227505186,-0.00857302222,0.0,-127613.54280674818,0.0
38,38,-0.07807726039496243,196332.8230598667,29.82722137176644,0.07152779947774021,9735.23801033607,139.49318677400126,0.006549460917222222,-0.0065494609172222175,0.006549460917222222,-0.07807726039496245,0.07807726039496245,109.6660873234002,2754.701437236918,83997.41250240405,104996.76562800507,1.0,0.0784442039544737,109.65599529042295,29.82722137176644,139.48337488445122,109.6659654022348,1.0,0.49767636182026426,-104996.97182921316,0.20620120810551681,0.20620120810551681,0.0,0.0,0.0,0.0,0.0,0.0,104996.971829213,0.0784442039544737,-0.006549460917222222,0.0,-104996.971829213,0.0
39,39,0.0,196332.82305986664,29.82722137176644,-0.006416507906666667,9712.13858187207,139.48252549932556,0.006416507906666667,-0.006416507906666658,0.006416507906666667,0.0,0.0,109.65530412755912,2754.565948103339,0.0,0.0,0.0,0.0,109.6454568061858,29.82722137176644,139.47271360977575,109.65530412755912,0.0,0.32599011824461455,-68775.56960258659,68775.56960258659,68775.56960258658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006416507906666667,68775.56960258653,-68775.56960258653,0.0
40,40,0.0,196332.8230598666,29.82722137176644,-0.005731692862777749,9691.504487566068,139.47300207118434,0.005731692862777777,-0.005731692862777771,0.005731692862777777,0.0,2.7755575615628914e-17,109.64578068967228,2754.4463316608503,0.0,0.0,0.0,0.0011864459934176046,109.63791182237104,29.82722137176644,139.465161507285,109.64578069941791,1.0,0.11821470325038548,-24940.276089428124,24940.276089428124,24940.27608942812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011864459934176046,-0.005731692862777777,24940.27608942811,-24940.27608942811,0.0
41,41,0.0,196332.82305986658,29.82722137176644,-0.008467836731666623,9661.02027533207,139.45893243476866,0.008467836731666666,-0.008467836731666659,0.008467836731666666,0.0,5.551115123125783e-17,109.63171105330238,2754.2696001463605,0.0,0.0,0.0,0.0011836591436136126,109.62581598310274,29.82722137176644,139.45305856606188,109.63171106300219,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011836591436136126,-0.008467836731666666,0.0,0.0,0.0
42,42,0.0,196332.82305986652,29.82722137176644,-0.00970108156888888,9626.09638168407,139.4428137146234,0.00970108156888889,-0.009701081568888882,0.00970108156888889,0.0,0.0,109.61559234285697,2754.067117951253,0.0,0.0,0.0,0.0,109.60969726295752,29.82722137176644,139.43693984591667,109.61559234285697,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00970108156888889,0.0,0.0,0.0
43,43,0.0,196332.8230598665,29.82722137176644,-0.008636273278888884,9595.005797880069,139.4284642144062,0.008636273278888888,-0.008636273278888882,0.008636273278888888,0.0,0.0,109.60124284263975,2753.8868488882163,0.0,0.0,0.0,0.0,109.59534776274015,29.82722137176644,139.4225903456993,109.60124284263975,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008636273278888888,0.0,0.0,0.0
44,44,0.0,196332.82305986647,29.82722137176644,-0.007996979514999891,9566.216671626069,139.41517692536587,0.007996979514999999,-0.00799697951499999,0.007996979514999999,0.0,1.1102230246251565e-16,109.58795554394,2753.7199117326354,0.0,0.0,0.0,0.0011811952960531626,109.58403016228674,29.82722137176644,139.411265658074,109.58795555359944,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011811952960531626,-0.007996979514999999,0.0,0.0,0.0
45,45,0.0,196332.82305986644,29.82722137176644,-0.007194654969444381,9540.315913736069,139.40322272941665,0.007194654969444444,-0.007194654969444434,0.007194654969444444,0.0,5.551115123125783e-17,109.5760013480366,2753.569863052113,0.0,0.0,0.0,0.0011783967979847043,109.5740409883211,29.82722137176644,139.40126941372736,109.57600135765018,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011783967979847043,-0.007194654969444444,0.0,0.0,0.0
46,46,0.0,196332.8230598664,29.82722137176644,-0.007309976037777721,9514.00000000007,139.39107692307695,0.007309976037777778,-0.007309976037777762,0.007309976037777778,0.0,5.551115123125783e-17,109.56385554174244,2753.417075828312,0.0,0.0,0.0,0.001175606664647849,109.5638555513104,29.82722137176644,139.39107692307678,109.56385555131052,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001175606664647849,-0.007309976037777778,0.0,0.0,0.0
47,47,0.0,196332.82305986635,29.82722137176644,-0.003888888888888886,9500.00000000007,139.38461538461542,0.0038888888888888888,-0.0038888888888888797,0.0038888888888888888,0.0,0.0,109.55739401284899,2753.33622571747,0.0,0.0,0.0,0.0,109.55739401284869,29.82722137176644,139.38461538461527,109.55739401284899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038888888888888888,0.0,0.0,0.0
